0,0,3,0,0,0,10,0,0
0,0,3,10,0,0,10,0,3
0,19,3,10,19,3,10,19,0
0,19,3,10,19,0,0,19,0
0,0,3,0,19,3,0,19,0
0,0,3,0,19,0,0,0,0
0,0,0,0,19,0,10,19,0
0,0,0,10,19,0,10,0,0
10,0,0,10,19,0,10,19,3
10,0,0,10,19,3,10,0,3
0,19,3,0,0,3,10,0,3
0,19,3,10,0,3,10,19,3
0,6,0,0,6,3,6,6,3
6,6,0,0,6,0,6,6,3
6,6,0,6,6,3,6,19,3
6,19,0,6,6,0,6,19,3
